Year,Fluid_Beverage_Milk,American_Cheese,Other_than_American_Cheese,Cottage_Cheese,Butter,Dry_Whole_Milk,Nonfat_and_Skim_milk_powder,Dry_Butter_Milk,Dry_Whey_and_Whey_Protein_Concentrate,Regular_Ice_Cream,Low_Fat_Ice_Cream,Frozen_Yougurt,Sherbet,Other_Frozen_Dairy,Water_And_Juices,Yougurt_Other_Than_Frozen,Whole_Condensed_Milk_Canned,Whole_Condensed_Milk_Bulk ,Skim_Condensed_Milk_Bulk_Canned,Milk_fat_basis,Skim_solids_basis
1975,247,8.1,6.1,4.6,4.7,0.1,3.3,0.2,2.2,18.2,6.5,NA,1.3,0.8,1.1,2.0,4.0,1.2,3.5,539,NA
1976,247,8.9,6.6,4.6,4.3,0.2,3.5,0.2,2.4,17.6,6.2,NA,1.4,0.6,1.0,2.1,3.8,1.1,3.6,540,NA
1977,244,9.2,6.8,4.6,4.3,0.2,3.3,0.3,2.4,17.3,6.6,NA,1.4,0.6,1.0,2.3,3.3,1.0,3.9,540,NA
1978,241,9.5,7.3,4.6,4.4,0.3,3.1,0.2,2.4,17.2,6.6,NA,1.3,0.6,0.9,2.4,3.1,0.9,3.5,544,NA
1979,238,9.6,7.6,4.4,4.5,0.3,3.3,0.2,2.7,16.9,6.2,NA,1.2,0.6,0.9,2.4,3.1,0.9,3.3,548,NA
1980,234,9.6,7.9,4.4,4.5,0.3,3.0,0.2,2.7,17.1,6.1,NA,1.2,0.5,0.9,2.5,2.9,0.9,3.3,543,NA
1981,230,10.2,8.0,4.3,4.2,0.4,2.2,0.2,2.7,17.0,5.9,NA,1.2,0.8,0.9,2.4,3.0,1.1,3.2,541,NA
1982,224,11.3,8.6,4.2,4.4,0.4,2.1,0.2,2.9,17.2,5.7,NA,1.2,0.8,0.9,2.6,2.8,1.1,3.0,555,NA
1983,223,11.6,9.0,4.1,4.9,0.4,2.3,0.2,3.1,17.7,5.9,NA,1.2,0.7,1.0,3.2,2.8,1.1,3.1,573,NA
1984,224,11.9,9.6,4.1,5.0,0.4,2.5,0.2,3.2,17.8,6.0,NA,1.2,0.7,1.1,3.6,2.5,1.2,3.7,582,NA
1985,227,12.2,10.4,4.0,4.9,0.4,2.3,0.2,3.5,17.7,5.9,NA,1.2,1.4,1.3,3.9,2.4,1.3,3.8,594,NA
1986,226,12.1,11.0,4.0,4.8,0.5,2.5,0.2,3.7,18.0,6.1,NA,1.2,1.0,1.3,4.2,2.3,1.4,4.3,592,NA
1987,223,12.4,11.7,3.9,4.4,0.5,2.5,0.2,3.6,17.9,6.3,NA,1.2,1.1,1.2,4.4,2.3,1.5,4.2,601,NA
1988,223,11.5,12.2,3.8,4.5,0.6,2.6,0.2,3.5,16.9,6.8,NA,1.3,1.1,1.2,4.7,2.2,1.3,4.3,583,NA
1989,223,11.0,12.8,3.5,4.4,0.5,2.2,0.2,3.5,15.8,7.1,2.0,1.3,0.9,1.2,3.7,2.0,1.0,4.7,564,NA
1990,220,11.1,13.5,3.3,4.3,0.6,2.9,0.2,3.7,15.4,6.6,2.8,1.2,1.0,1.2,3.9,2.2,0.9,4.8,568,NA
1991,218,11.0,13.9,3.2,4.4,0.4,2.6,0.2,3.6,15.9,6.3,3.5,1.1,1.1,1.3,4.1,2.1,1.1,5.0,564,NA
1992,215,11.3,14.6,3.1,4.3,0.5,2.8,0.2,3.8,15.6,5.9,3.1,1.2,1.4,1.2,4.4,2.1,1.1,5.2,562,NA
1993,210,11.3,14.7,2.9,4.7,0.4,2.5,0.2,3.8,15.5,5.8,3.4,1.2,1.8,1.3,4.9,1.9,0.9,5.3,569,NA
1994,208,11.4,15.1,2.8,4.7,0.4,3.5,0.2,3.8,15.4,6.3,3.4,1.2,1.6,1.4,5.2,1.8,0.7,5.4,579,NA
1995,205,11.7,15.0,2.7,4.6,0.4,3.4,0.2,4.1,15.0,7.0,3.4,1.2,0.7,1.6,6.1,1.4,0.6,4.5,572,NA
1996,205,11.8,15.3,2.6,4.3,0.5,3.7,0.2,3.8,15.1,7.0,2.5,1.2,0.3,1.5,5.9,1.4,0.6,4.0,563,NA
1997,201,11.8,15.5,2.6,4.2,0.4,3.3,0.2,3.9,15.5,7.2,2.0,1.2,0.3,1.6,5.7,1.8,0.7,3.9,565,NA
1998,198,12.0,15.6,2.6,4.3,0.4,3.2,0.2,4.0,15.7,7.6,2.1,1.2,0.3,1.6,5.9,1.4,0.5,4.1,571,NA
1999,197,12.7,16.2,2.6,4.6,0.4,2.7,0.2,4.0,16.2,7.0,2.0,1.2,0.3,1.6,6.1,1.5,0.5,4.4,584,NA
2000,196,12.7,16.9,2.6,4.5,0.3,2.7,0.2,3.7,16.1,6.6,2.0,1.1,0.2,1.4,6.5,1.5,0.5,3.8,590,NA
2001,192,12.8,17.0,2.6,4.3,0.1,3.3,0.1,3.3,15.8,6.5,1.5,1.1,0.2,1.4,7.0,1.6,0.5,3.4,585,NA
2002,191,12.8,17.4,2.6,4.4,0.2,3.1,0.2,3.4,16.2,5.8,1.5,1.2,0.2,1.4,8.0,1.9,0.4,3.7,588,NA
2003,188,12.6,17.7,2.6,4.5,0.2,3.4,0.2,3.4,15.9,6.7,1.5,1.1,0.1,1.3,8.6,2.0,0.7,3.3,596,NA
2004,185,12.9,18.1,2.7,4.5,0.1,4.3,0.1,3.0,14.6,6.5,1.3,1.1,0.2,1.4,9.2,1.7,0.6,3.2,594,NA
2005,185,12.6,18.7,2.7,4.5,0.2,4.2,0.2,2.9,15.1,6.0,1.3,1.1,0.2,1.5,10.3,1.7,0.6,3.7,603,NA
2006,185,13.1,19.1,2.6,4.7,0.1,3.2,0.2,2.8,15.3,6.1,1.3,1.2,0.2,1.4,11.1,1.7,0.6,4.2,612,NA
2007,183,12.8,19.9,2.6,4.7,0.2,2.9,0.2,2.3,14.8,6.1,1.5,1.2,0.2,1.4,11.6,1.6,0.5,5.6,612,NA
2008,181,13.1,19.0,2.3,5.0,0.1,3.1,0.2,2.9,14.2,6.1,1.5,1.1,0.3,1.2,11.7,1.7,0.6,5.1,606,NA
2009,181,13.4,18.9,2.4,5.0,0.3,4.0,0.2,2.5,13.9,6.3,0.9,1.0,0.3,1.3,12.5,1.7,0.6,5.0,607,NA
2010,177,13.3,19.4,2.3,4.9,0.2,3.2,0.2,1.9,14.0,6.5,1.0,1.0,0.2,1.4,13.4,1.5,0.5,5.2,603,NA
2011,173,13.0,20.0,2.3,5.4,0.2,3.0,0.2,1.5,13.2,6.4,1.2,0.9,0.2,1.3,13.6,1.5,0.4,5.2,603,516
2012,169,13.3,20.0,2.3,5.5,0.2,3.6,0.2,1.8,13.2,7.0,1.1,0.8,0.2,1.4,14.0,1.5,0.5,5.3,613,524
2013,164,13.4,20.1,2.1,5.5,0.2,2.9,0.3,1.9,13.1,6.0,1.4,0.9,0.2,1.4,14.9,1.5,0.4,5.3,606,513
2014,158,13.7,20.5,2.1,5.5,0.2,3.1,0.2,2.0,12.5,6.2,1.3,0.9,0.2,1.4,14.9,1.0,0.4,5.4,614,512
2015,155,14.0,21.1,2.1,5.6,0.3,3.2,0.2,2.4,12.9,6.5,1.4,0.8,0.3,1.4,14.4,1.4,0.7,5.5,628,526
2016,153,14.4,22.1,2.2,5.7,0.3,2.9,0.2,2.0,12.9,6.4,1.2,0.8,0.3,1.3,13.8,1.5,0.6,5.4,644,531
2017,148,15.1,21.9,2.1,5.7,0.3,2.8,0.2,2.0,12.3,6.7,1.2,0.8,0.4,1.3,13.7,1.2,0.5,5.1,643,529
2018,145,15.4,22.6,2.1,6.0,0.4,2.3,0.2,2.2,12.0,6.6,1.0,0.7,0.4,1.4,13.6,1.3,0.6,4.9,644,525
2019,141,15.5,22.8,2.1,6.2,0.3,2.7,0.2,2.2,12.3,6.8,1.0,0.8,0.4,1.4,13.4,1.3,0.6,4.6,651,522
2020,141,15.5,22.4,2.0,6.3,0.3,2.4,0.2,1.6,12.7,6.5,0.6,0.7,0.3,1.4,13.6,1.6,0.5,4.8,651,510
2021,134,16.2,23.1,1.9,6.4,0.2,2.4,0.2,1.4,12.2,6.6,0.8,0.7,0.2,1.6,14.3,1.6,0.5,4.5,661,519
2022,130,16.2,23.6,1.9,6.0,0.3,2.3,0.2,1.2,12.7,6.2,0.9,0.6,0.3,1.5,13.9,1.5,0.5,4.4,653,513
